Imagen: 001197_M_18_180340_5443109.jpg | Altura: 1.59 m | PB: 1.21 cm | PP: -2.72 cm | Clase: 0
Imagen: 0_M_25_182880_10432625.jpg | Altura: 1.74 m | PB: 0.80 cm | PP: -0.96 cm | Clase: 0
Imagen: 0_F_26_165100_7711071.jpg | Altura: 1.67 m | PB: 1.18 cm | PP: -0.39 cm | Clase: 0
Imagen: 0_F_24_154940_6577090.jpg | Altura: 1.48 m | PB: 0.90 cm | PP: -1.48 cm | Clase: 0
Imagen: 001486_F_22_172720_7983226.jpg | Altura: 1.78 m | PB: 0.96 cm | PP: -1.79 cm | Clase: 0
Imagen: 000542_M_33_170180_5987420.jpg | Altura: 1.67 m | PB: 1.18 cm | PP: -1.99 cm | Clase: 0
Imagen: 001894_F_29_165100_5443109.jpg | Altura: 1.84 m | PB: 1.14 cm | PP: -0.60 cm | Clase: 0
Imagen: 002258_M_34_175260_8663615.jpg | Altura: 1.29 m | PB: 0.96 cm | PP: -2.52 cm | Clase: 0
Imagen: 000518_M_25_193040_21318843.png | Altura: 1.59 m | PB: 1.18 cm | PP: -0.93 cm | Clase: 0
Imagen: 001468_F_22_162560_9752237.jpg | Altura: 1.68 m | PB: 1.53 cm | PP: -1.35 cm | Clase: 0
Imagen: 000480_M_32_177800_7257478.jpg | Altura: 1.69 m | PB: 0.56 cm | PP: -1.70 cm | Clase: 0
Imagen: 002020_F_32_165100_6226796.jpg | Altura: 1.82 m | PB: 0.83 cm | PP: -1.73 cm | Clase: 0
Imagen: 001128_M_18_172720_6803886.jpg | Altura: 1.49 m | PB: 0.99 cm | PP: 0.09 cm | Clase: 0
Imagen: 001709_M_23_180340_10976936.jpg | Altura: 1.78 m | PB: 1.03 cm | PP: -1.78 cm | Clase: 0
Imagen: 001571_M_21_175260_8164663.jpg | Altura: 1.51 m | PB: 0.81 cm | PP: -2.30 cm | Clase: 0
Imagen: 000058_F_22_162560_8618256.jpg | Altura: 1.51 m | PB: 1.40 cm | PP: -0.61 cm | Clase: 0
Imagen: 001049_F_24_170180_8164663.jpg | Altura: 1.84 m | PB: 0.95 cm | PP: -0.81 cm | Clase: 0
Imagen: 000624_F_31_162560_5896701.jpg | Altura: 1.56 m | PB: 0.90 cm | PP: -2.06 cm | Clase: 0
Imagen: 000254_F_39_170180_14197442.jpg | Altura: 1.80 m | PB: 1.28 cm | PP: -1.63 cm | Clase: 0
Imagen: 001197_M_21_182880_7257478.jpg | Altura: 1.59 m | PB: 1.29 cm | PP: -1.73 cm | Clase: 0
Imagen: 002294_M_37_187960_21772435.png | Altura: 1.50 m | PB: 1.31 cm | PP: -1.99 cm | Clase: 0
Imagen: 000653_F_36_167640_6803886.jpg | Altura: 1.72 m | PB: 1.40 cm | PP: 0.38 cm | Clase: 0
Imagen: 000646_M_50_172720_8890411.png | Altura: 1.37 m | PB: 1.67 cm | PP: -1.69 cm | Clase: 0
Imagen: 001129_M_32_167640_6803886.jpg | Altura: 1.57 m | PB: 1.35 cm | PP: -1.83 cm | Clase: 0
Imagen: 000916_F_24_154940_7711071.jpg | Altura: 1.45 m | PB: 2.38 cm | PP: -3.31 cm | Clase: 0
Imagen: 000413_M_29_190500_14514957.jpg | Altura: 1.87 m | PB: 0.89 cm | PP: -0.99 cm | Clase: 0
Imagen: 001354_M_32_175260_6259575.jpg | Altura: 1.50 m | PB: 0.96 cm | PP: -0.32 cm | Clase: 0
Imagen: 0_M_19_177800_6803886.jpg | Altura: 1.64 m | PB: 1.11 cm | PP: -1.59 cm | Clase: 0
Imagen: 002070_F_33_175260_8527537.jpg | Altura: 1.58 m | PB: 1.14 cm | PP: 0.34 cm | Clase: 0
Imagen: 000271_M_18_170180_9616159.jpg | Altura: 1.68 m | PB: 1.14 cm | PP: -2.20 cm | Clase: 0
Imagen: 000691_F_16_165100_5443109.jpg | Altura: 1.76 m | PB: 0.65 cm | PP: -1.70 cm | Clase: 0
Imagen: 001406_F_22_157480_7076040.jpg | Altura: 1.90 m | PB: 1.41 cm | PP: -0.39 cm | Clase: 0
Imagen: 000586_M_36_177800_7302838.jpg | Altura: 1.64 m | PB: 1.16 cm | PP: -0.67 cm | Clase: 0
Imagen: 002226_M_32_193040_10251188.jpg | Altura: 1.52 m | PB: 1.21 cm | PP: -2.04 cm | Clase: 0
Imagen: 001491_F_22_182880_7257478.jpg | Altura: 1.86 m | PB: 0.91 cm | PP: -1.07 cm | Clase: 0
Imagen: 001247_M_23_167640_12337713.jpg | Altura: 1.78 m | PB: 0.90 cm | PP: 0.05 cm | Clase: 0
Imagen: 1_F_25_167640_6713168.jpg | Altura: 1.74 m | PB: 1.80 cm | PP: -1.58 cm | Clase: 0
Imagen: 1_F_26_170180_7484274.jpg | Altura: 1.78 m | PB: 1.05 cm | PP: -1.98 cm | Clase: 0
Imagen: 3_F_24_157480_7484274.png | Altura: 1.69 m | PB: 1.00 cm | PP: -2.39 cm | Clase: 0
Imagen: 001253_M_31_187960_16329326.jpg | Altura: 1.47 m | PB: 1.49 cm | PP: -0.91 cm | Clase: 0
Imagen: 001603_M_21_172720_7257478.jpg | Altura: 1.60 m | PB: 1.28 cm | PP: -0.77 cm | Clase: 0
Imagen: 000772_F_32_160020_7257478.jpg | Altura: 1.89 m | PB: 1.55 cm | PP: -1.23 cm | Clase: 0
Imagen: 000015_F_20_154940_4989520.jpg | Altura: 1.78 m | PB: 1.73 cm | PP: -2.00 cm | Clase: 0
Imagen: 1_F_19_165100_6350294.jpg | Altura: 1.38 m | PB: 0.51 cm | PP: -1.53 cm | Clase: 0
Imagen: 000872_F_27_162560_8346100.jpg | Altura: 1.55 m | PB: 1.53 cm | PP: -2.35 cm | Clase: 0
Imagen: 000369_M_24_190500_16782919.jpg | Altura: 1.14 m | PB: 1.00 cm | PP: -2.28 cm | Clase: 0
Imagen: 000497_M_21_177800_7937867.png | Altura: 1.69 m | PB: 0.79 cm | PP: -1.49 cm | Clase: 0
Imagen: 000743_F_26_165100_7257478.jpg | Altura: 1.64 m | PB: 0.34 cm | PP: -1.29 cm | Clase: 0
Imagen: 000032_F_23_165100_8391459.jpg | Altura: 1.32 m | PB: 1.07 cm | PP: -2.08 cm | Clase: 0
Imagen: 001933_M_26_165100_10432625.jpg | Altura: 1.61 m | PB: 0.83 cm | PP: -1.47 cm | Clase: 0
Imagen: 0_F_34_172720_10886218_.jpg | Altura: 1.36 m | PB: 1.90 cm | PP: -3.07 cm | Clase: 0
Imagen: 000551_F_44_167640_9797596.jpg | Altura: 1.71 m | PB: 1.57 cm | PP: 0.17 cm | Clase: 0
Imagen: 0_M_42_190500_14061364.jpg | Altura: 1.95 m | PB: 1.35 cm | PP: -1.96 cm | Clase: 0
Imagen: 001728_M_23_172720_9298644.jpg | Altura: 1.84 m | PB: 1.22 cm | PP: -0.28 cm | Clase: 0
Imagen: 001509_F_23_180340_7484274.jpg | Altura: 1.29 m | PB: 1.58 cm | PP: -3.55 cm | Clase: 0
Imagen: 1_F_25_160020_5397750.jpg | Altura: 1.68 m | PB: 1.59 cm | PP: -2.14 cm | Clase: 0
Imagen: 0_F_28_160020_7030682.jpg | Altura: 1.55 m | PB: 2.26 cm | PP: -1.63 cm | Clase: 0
Imagen: 001614_M_21_187960_14288161.jpg | Altura: 1.64 m | PB: 2.42 cm | PP: -0.96 cm | Clase: 0
Imagen: 0_M_21_187960_13607772.jpg | Altura: 1.67 m | PB: 1.59 cm | PP: -1.47 cm | Clase: 0
Imagen: 0_F_27_172720_11049511.jpg | Altura: 1.89 m | PB: 4.51 cm | PP: -2.98 cm | Clase: 0
Imagen: 001135_F_36_148844_7212119.jpg | Altura: 1.68 m | PB: 1.35 cm | PP: -2.60 cm | Clase: 0
Imagen: 001028_f_18_160020_8164663.jpg | Altura: 1.59 m | PB: 1.19 cm | PP: -0.16 cm | Clase: 0
Imagen: 0_F_26_162560_8663615.jpg | Altura: 1.28 m | PB: 1.79 cm | PP: -0.60 cm | Clase: 0
Imagen: 0_M_21_177800_11748043.jpg | Altura: 1.67 m | PB: 0.97 cm | PP: -0.95 cm | Clase: 0
Imagen: 0_F_20_154940_6350294.jpg | Altura: 1.35 m | PB: 1.32 cm | PP: -3.71 cm | Clase: 0
Imagen: 000110_F_23_162560_5443109.jpg | Altura: 1.34 m | PB: 1.99 cm | PP: -3.58 cm | Clase: 0
Imagen: 000679_F_22_167640_6894604.jpg | Altura: 1.59 m | PB: 0.74 cm | PP: -1.19 cm | Clase: 0
Imagen: 001817_M_24_175260_10432625.jpg | Altura: 1.44 m | PB: 1.34 cm | PP: -1.35 cm | Clase: 0
Imagen: 1_F_27_175260_9389363.jpg | Altura: 1.75 m | PB: 1.13 cm | PP: -1.83 cm | Clase: 0
Imagen: 001640_M_22_170180_6939964.jpg | Altura: 1.69 m | PB: 0.73 cm | PP: -3.20 cm | Clase: 0
Imagen: 001797_M_24_180340_10477984.jpg | Altura: 1.64 m | PB: 0.37 cm | PP: -0.91 cm | Clase: 0
Imagen: 3_F_26_170180_12020199.jpg | Altura: 1.62 m | PB: 1.37 cm | PP: -2.47 cm | Clase: 0
Imagen: 000088_F_24_177800_7620352.jpg | Altura: 1.61 m | PB: 2.16 cm | PP: -2.33 cm | Clase: 0
Imagen: 000966_F_27_165100_7937867.jpg | Altura: 1.54 m | PB: 0.86 cm | PP: -1.54 cm | Clase: 0
Imagen: 001237_M_46_180340_7484274.jpg | Altura: 1.44 m | PB: 0.60 cm | PP: -2.07 cm | Clase: 0
Imagen: 000971_F_31_167640_7937867.jpg | Altura: 1.72 m | PB: 1.57 cm | PP: -1.16 cm | Clase: 0
Imagen: 0_M_27_170180_6577090.jpg | Altura: 1.64 m | PB: 0.89 cm | PP: -1.88 cm | Clase: 0
Imagen: 000589_M_36_185420_15422142.jpg | Altura: 1.48 m | PB: 0.89 cm | PP: -1.88 cm | Clase: 0
Imagen: 000985_F_32_170180_6713168.jpg | Altura: 1.49 m | PB: 1.21 cm | PP: -2.40 cm | Clase: 0
Imagen: 000177_F_24_157480_6350294.jpg | Altura: 1.65 m | PB: 0.94 cm | PP: -3.33 cm | Clase: 0
Imagen: 001350_M_30_190500_8028585.png | Altura: 1.66 m | PB: 1.07 cm | PP: -1.64 cm | Clase: 0
Imagen: 2_M_21_175260_8164663.jpg | Altura: 1.57 m | PB: 1.16 cm | PP: -1.27 cm | Clase: 0
Imagen: 0_M_32_185420_18143696.jpg | Altura: 1.35 m | PB: 0.95 cm | PP: -0.54 cm | Clase: 0
Imagen: 000435_M_30_193040_9434722.jpg | Altura: 1.56 m | PB: 0.86 cm | PP: -2.39 cm | Clase: 0
Imagen: 000672_F_24_154940_8708974.jpg | Altura: 1.36 m | PB: 0.83 cm | PP: -1.48 cm | Clase: 0
Imagen: 001470_F_22_165100_8391459.jpg | Altura: 1.77 m | PB: 0.94 cm | PP: -1.25 cm | Clase: 0
Imagen: 000340_F_22_157480_6123497.jpg | Altura: 1.58 m | PB: 1.32 cm | PP: -0.01 cm | Clase: 0
Imagen: 000180_F_28_185420_10432625.jpg | Altura: 1.96 m | PB: 1.29 cm | PP: -2.81 cm | Clase: 0
Imagen: 001636_F_25_154940_6622449.jpg | Altura: 1.72 m | PB: 1.16 cm | PP: -1.70 cm | Clase: 0
Imagen: 2_F_21_160020_7393555.png | Altura: 1.61 m | PB: 1.04 cm | PP: -1.17 cm | Clase: 0
Imagen: 000073_F_28_162560_10659421.jpg | Altura: 1.46 m | PB: 1.16 cm | PP: -2.53 cm | Clase: 0
Imagen: 0_F_23_157480_8618256.png | Altura: 1.71 m | PB: 0.51 cm | PP: -1.73 cm | Clase: 0
Imagen: 000957_F_29_180340_11113014.jpg | Altura: 1.53 m | PB: 0.95 cm | PP: -1.96 cm | Clase: 0
Imagen: 2_F_23_154940_9752237.jpg | Altura: 1.46 m | PB: 0.59 cm | PP: -0.93 cm | Clase: 0
Imagen: 1_M_36_177800_9344003.jpg | Altura: 1.78 m | PB: 0.51 cm | PP: -1.29 cm | Clase: 0
Imagen: 0_M_20_175260_11339810.jpg | Altura: 1.80 m | PB: 1.27 cm | PP: -1.36 cm | Clase: 0
Imagen: 1_F_30_167640_6622449.png | Altura: 1.71 m | PB: 0.92 cm | PP: -1.42 cm | Clase: 0
Imagen: 1_F_30_172720_6667807.jpg | Altura: 1.59 m | PB: 0.89 cm | PP: -2.64 cm | Clase: 0
Imagen: 000586_M_36_177800_10115111.jpg | Altura: 1.47 m | PB: 1.00 cm | PP: -0.70 cm | Clase: 0
Imagen: 1_F_26_177800_14514957.jpg | Altura: 1.61 m | PB: 1.09 cm | PP: -0.56 cm | Clase: 0
Imagen: 002221_M_32_187960_8346100.jpg | Altura: 1.61 m | PB: 1.48 cm | PP: -1.63 cm | Clase: 0
Imagen: 000266_M_16_167640_4808079.jpg | Altura: 1.68 m | PB: 1.29 cm | PP: -1.93 cm | Clase: 0
Imagen: 1_F_41_165100_5987420.jpg | Altura: 1.79 m | PB: 1.08 cm | PP: -2.22 cm | Clase: 0
Imagen: 000495_M_20_187960_9298644.png | Altura: 1.62 m | PB: 1.45 cm | PP: -0.08 cm | Clase: 0
Imagen: 001485_F_21_162560_6032779.png | Altura: 1.87 m | PB: 1.83 cm | PP: -1.87 cm | Clase: 0
Imagen: 0_F_31_165100_9071848.jpg | Altura: 1.53 m | PB: 1.87 cm | PP: 0.04 cm | Clase: 0
Imagen: 001386_F_21_175260_10205829.jpg | Altura: 1.51 m | PB: 0.62 cm | PP: -1.35 cm | Clase: 0
Imagen: 000299_M_21_170180_6078138.jpg | Altura: 1.63 m | PB: 2.16 cm | PP: -2.97 cm | Clase: 0
Imagen: 001500_F_21_167640_8391459.jpg | Altura: 1.54 m | PB: 1.14 cm | PP: -2.31 cm | Clase: 0
Imagen: 001603_M_21_172720_8799693.jpg | Altura: 1.72 m | PB: 0.68 cm | PP: -1.52 cm | Clase: 0
Imagen: 000273_M_18_185420_12745946.jpg | Altura: 1.81 m | PB: 0.64 cm | PP: -0.61 cm | Clase: 0
Imagen: 002039_M_27_182880_12700587.jpg | Altura: 1.50 m | PB: 1.70 cm | PP: -0.06 cm | Clase: 0
Imagen: 000497_M_21_177800_9525440.png | Altura: 1.58 m | PB: 0.64 cm | PP: -1.78 cm | Clase: 0
Imagen: 0_M_24_172720_7030682.jpg | Altura: 1.49 m | PB: 1.08 cm | PP: -1.50 cm | Clase: 0
Imagen: 001894_F_29_165100_9979033.jpg | Altura: 1.58 m | PB: 2.34 cm | PP: -2.05 cm | Clase: 0
Imagen: 1_F_22_177800_8981130.jpg | Altura: 1.44 m | PB: 0.76 cm | PP: -1.37 cm | Clase: 0
Imagen: 1_M_17_175260_10432625.jpg | Altura: 2.00 m | PB: 1.57 cm | PP: -0.52 cm | Clase: 0
Imagen: 001409_F_22_157480_6486371.jpg | Altura: 1.64 m | PB: 1.09 cm | PP: -2.05 cm | Clase: 0
Imagen: 001945_M_26_175260_6577090.jpg | Altura: 1.92 m | PB: 1.35 cm | PP: -1.45 cm | Clase: 0
Imagen: 000729_F_25_170180_9298644.jpg | Altura: 2.00 m | PB: 1.25 cm | PP: -2.41 cm | Clase: 0
Imagen: 001164_M_23_167640_7257478.jpg | Altura: 1.84 m | PB: 1.79 cm | PP: -2.43 cm | Clase: 0
Imagen: 000554_F_25_172720_6667807.png | Altura: 1.56 m | PB: 1.22 cm | PP: -0.12 cm | Clase: 0
Imagen: 0_F_32_157480_7983226.jpg | Altura: 1.31 m | PB: 1.77 cm | PP: -3.59 cm | Clase: 0
Imagen: 001088_F_36_165100_6713168.jpg | Altura: 1.89 m | PB: 2.07 cm | PP: -1.43 cm | Clase: 0
Imagen: 000603_F_23_157480_8205486.jpg | Altura: 1.14 m | PB: 1.27 cm | PP: -3.16 cm | Clase: 0
Imagen: 1_F_26_162560_6486371.jpg | Altura: 1.57 m | PB: 0.80 cm | PP: -1.80 cm | Clase: 0
Imagen: 000544_M_33_172720_7121401.png | Altura: 1.29 m | PB: 0.88 cm | PP: -0.38 cm | Clase: 0
Imagen: 001589_F_24_165100_7484274.jpg | Altura: 1.38 m | PB: 2.17 cm | PP: -2.58 cm | Clase: 0
Imagen: 2_F_29_162560_6803886.png | Altura: 1.61 m | PB: 2.80 cm | PP: -2.33 cm | Clase: 0
Imagen: 001161_F_30_172720_14288161.jpg | Altura: 1.47 m | PB: 1.02 cm | PP: -0.17 cm | Clase: 0
Imagen: 000526_M_27_180340_12745946.png | Altura: 1.50 m | PB: 1.84 cm | PP: -0.71 cm | Clase: 0
Imagen: 000198_F_38_167640_7801788.jpg | Altura: 1.72 m | PB: 1.04 cm | PP: -2.04 cm | Clase: 0
Imagen: 002067_M_28_175260_13380976.jpg | Altura: 1.44 m | PB: 2.43 cm | PP: -2.53 cm | Clase: 0
Imagen: 001248_M_40_165100_6168857.jpg | Altura: 1.47 m | PB: 1.19 cm | PP: -2.96 cm | Clase: 0
Imagen: 000923_F_23_167640_10523344.jpg | Altura: 1.39 m | PB: 1.87 cm | PP: -0.95 cm | Clase: 0
Imagen: 000111_F_26_157480_7257478.png | Altura: 1.56 m | PB: 1.22 cm | PP: -2.50 cm | Clase: 0
Imagen: 2_M_31_190500_9525440.png | Altura: 1.60 m | PB: 1.24 cm | PP: -1.12 cm | Clase: 0
Imagen: 001564_M_20_190500_12246995.jpg | Altura: 1.25 m | PB: 1.29 cm | PP: -0.68 cm | Clase: 0
Imagen: 001674_F_26_160020_5352390.jpg | Altura: 1.47 m | PB: 1.11 cm | PP: -2.01 cm | Clase: 0
Imagen: 4_M_27_193040_18688007.jpg | Altura: 1.83 m | PB: 1.96 cm | PP: -1.83 cm | Clase: 0
Imagen: 000142_F_27_157480_10115111.jpg | Altura: 1.42 m | PB: 1.17 cm | PP: -2.16 cm | Clase: 0
Imagen: 001193_M_22_172720_7257478.png | Altura: 1.78 m | PB: 1.43 cm | PP: -1.45 cm | Clase: 0
Imagen: 001133_M_26_172720_7484274.jpg | Altura: 1.65 m | PB: 0.96 cm | PP: -1.99 cm | Clase: 0
Imagen: 000209_F_31_160020_5579187.jpg | Altura: 1.37 m | PB: 1.03 cm | PP: -1.56 cm | Clase: 0
Imagen: 000012_F_19_168910_7847149.jpg | Altura: 1.57 m | PB: 1.28 cm | PP: -2.39 cm | Clase: 0
Imagen: 2_F_20_152400_5261672.jpg | Altura: 1.72 m | PB: 1.84 cm | PP: 0.94 cm | Clase: 0
Imagen: 001800_M_24_166370_7076040.jpg | Altura: 1.65 m | PB: 0.95 cm | PP: -1.71 cm | Clase: 0
Imagen: 001132_M_21_182880_10886218.jpg | Altura: 1.43 m | PB: 0.71 cm | PP: -2.78 cm | Clase: 0
Imagen: 000631_F_23_154940_10296547.jpg | Altura: 1.31 m | PB: 1.51 cm | PP: 1.64 cm | Clase: 0
Imagen: 1_F_27_170180_7529634.jpg | Altura: 1.06 m | PB: 1.76 cm | PP: 2.45 cm | Clase: 0
Imagen: 001151_M_26_170180_6894604.jpg | Altura: 1.44 m | PB: 0.91 cm | PP: -0.93 cm | Clase: 0
Imagen: 000370_M_24_190500_10432625.jpg | Altura: 1.67 m | PB: 1.10 cm | PP: -1.61 cm | Clase: 0
Imagen: 1_F_30_175260_8391459.jpg | Altura: 1.38 m | PB: 1.32 cm | PP: -2.55 cm | Clase: 0
Imagen: 000068_F_23_170180_15100091.jpg | Altura: 1.64 m | PB: 1.00 cm | PP: -1.48 cm | Clase: 0
Imagen: 000216_F_31_182880_16329326.jpg | Altura: 1.57 m | PB: 1.63 cm | PP: -2.05 cm | Clase: 0
Imagen: 000448_F_21_162560_5443109.jpg | Altura: 1.50 m | PB: 1.36 cm | PP: -0.71 cm | Clase: 0
Imagen: 001153_M_30_172720_13607772.jpg | Altura: 1.94 m | PB: 1.64 cm | PP: -2.23 cm | Clase: 0
Imagen: 1_F_32_157480_7529634.jpg | Altura: 1.51 m | PB: 1.17 cm | PP: -0.38 cm | Clase: 0
Imagen: 001299_M_24_182880_9026489.jpg | Altura: 1.73 m | PB: 1.31 cm | PP: -0.78 cm | Clase: 0
Imagen: 000307_M_21_187960_11611965.jpg | Altura: 1.65 m | PB: 2.05 cm | PP: -1.23 cm | Clase: 0
Imagen: 1_M_40_180340_20547736.jpg | Altura: 1.79 m | PB: 0.94 cm | PP: -1.52 cm | Clase: 0
Imagen: 1_M_21_190500_14741753.jpg | Altura: 1.95 m | PB: 1.00 cm | PP: -1.69 cm | Clase: 0
Imagen: 000707_F_20_167640_5987420.jpg | Altura: 1.56 m | PB: 1.25 cm | PP: -0.70 cm | Clase: 0
Imagen: 3_M_23_180340_18143696.jpg | Altura: 1.48 m | PB: 1.25 cm | PP: -0.16 cm | Clase: 0
Imagen: 000123_F_26_170180_9389363.jpg | Altura: 1.62 m | PB: 1.15 cm | PP: -1.87 cm | Clase: 0
Imagen: 001096_F_31_162560_8391459.jpg | Altura: 1.33 m | PB: 0.61 cm | PP: -1.83 cm | Clase: 0
Imagen: 000854_F_23_167640_7506954.png | Altura: 1.62 m | PB: 1.24 cm | PP: -2.27 cm | Clase: 0
Imagen: 000905_F_20_165100_5669905.jpg | Altura: 1.73 m | PB: 1.48 cm | PP: -1.62 cm | Clase: 0
